Test_Sample_ID,Original_CSV_Index,Actual_7d_CS,Actual_28d_CS,Predicted_3d_CS,Predicted_7d_CS,Predicted_14d_CS,Predicted_28d_CS,Uncertainty_3d,Uncertainty_7d,Uncertainty_14d,Uncertainty_28d,7d_Error,28d_Error
0,409,53.760002,55.02,47.79585,47.91974,55.23518,55.34172,1.8080869,1.7717848,1.8362257,1.814555,5.8402634,0.32172012
1,1449,30.0,33.68,37.95357,38.253693,45.225624,45.483723,1.8997545,1.9532996,2.1167297,2.194294,8.253693,11.803722
2,1489,56.3916,59.1157,48.92521,49.379925,57.05464,57.445686,2.460961,2.2603323,2.269402,2.2313879,7.011677,1.6700134
3,342,46.19,48.9,43.75112,43.814804,50.868233,50.923004,1.5397266,1.5271137,1.5956296,1.5869879,2.3751945,2.0230026
4,702,35.2,36.8,28.609215,28.78102,35.157448,35.305195,1.740336,1.680367,1.7189165,1.6753932,6.4189816,1.4948044
5,817,13.299999,16.6,14.737766,14.77944,20.326859,20.362696,1.4342484,1.4478763,1.5343392,1.5471636,1.4794407,3.7626953
6,139,28.32,35.44,21.555277,21.659601,27.61327,27.702984,1.6766845,1.7204916,1.8539032,1.9055359,6.6603985,7.737015
7,1358,19.0123,33.8272,15.631592,19.709776,28.980968,32.488068,2.640675,2.747106,3.0384107,3.2343752,0.69747543,1.3391342
8,343,49.44,51.52,45.555042,45.63508,52.79578,52.86461,1.6387672,1.6148926,1.6804787,1.6665258,3.8049202,1.3446083
9,935,28.82,34.97,27.269203,27.306955,33.492607,33.52507,1.4754769,1.4802762,1.5608126,1.5660638,1.5130444,1.444931
10,232,39.31232,46.07448,34.90619,34.97524,41.580547,41.639927,1.8246145,1.8283956,1.9273735,1.9345661,4.337082,4.4345512
11,504,38.25,53.2493,18.852043,19.436676,25.689537,26.192293,2.7400668,2.9557066,3.3086135,3.5219598,18.813324,27.057005
12,408,51.620003,53.38,47.502518,47.672924,55.015724,55.162254,1.7263452,1.6756543,1.7246424,1.6943222,3.9470787,1.7822533
13,1591,2.899998,25.4,3.905716,6.622158,14.051996,16.388039,2.8788452,2.876454,3.105581,3.2570677,3.72216,9.011961
14,970,20.48,24.52,11.846245,11.907284,17.324251,17.376741,1.8412964,1.8703414,1.9924968,2.0200546,8.572716,7.143259
15,758,37.33,42.48,34.73194,37.048042,45.691906,47.683674,3.2986436,3.751766,4.369744,4.8188934,0.28195953,5.2036743
16,194,52.260002,53.8,46.984467,47.1237,54.411552,54.53129,1.6623155,1.6115314,1.655136,1.6208023,5.136303,0.7312889
17,736,45.63,56.67,39.985603,41.257206,49.21841,50.311947,2.885736,2.815407,2.9923584,3.1065779,4.372795,6.3580513
18,705,37.3,38.9,29.598183,29.729044,36.11882,36.231358,1.553214,1.5044664,1.5422262,1.5054982,7.5709553,2.668644
19,375,36.32016,40.74488,36.848988,37.521572,44.776314,45.354713,2.7131495,2.7284732,2.9010148,2.9508579,1.2014122,4.609833
20,131,30.656,33.088,29.124216,29.462063,36.016167,36.306705,1.819452,1.8666788,2.0148985,2.0774446,1.1939373,3.2187042
21,1154,58.5124,60.4959,52.76163,53.12562,60.91416,61.22718,2.7303047,2.7359347,2.8929257,2.9204204,5.38678,0.7312813
22,1459,10.4902,12.4762,11.136555,11.1912365,16.566061,16.613096,2.5103648,2.5451474,2.7064018,2.7381623,0.70103645,4.136896
23,1599,46.100002,51.0,44.39515,44.537857,51.696274,51.818996,1.9326518,1.8975741,1.970616,1.952109,1.5621452,0.8189964
24,969,46.32,51.46,29.775967,30.171776,36.812073,37.152454,3.0449915,3.1592312,3.4286845,3.5439746,16.148224,14.307545
25,1007,41.784,47.6,34.28968,34.40029,41.011898,41.107018,2.176388,2.193385,2.3233712,2.343684,7.383709,6.492981
26,337,41.832,43.912,26.97882,27.054058,33.258995,33.323696,1.9741278,1.9869335,2.1002915,2.1124012,14.777943,10.588303
27,581,26.022,36.57144,15.997187,16.699348,22.91309,23.51693,1.6337483,1.6965808,1.873142,1.9903224,9.322651,13.054512
28,1480,35.6341,43.6449,34.785282,34.948742,41.633884,41.774452,1.6616842,1.6263201,1.6870604,1.6718916,0.68535995,1.8704491
29,1217,32.6513,50.9846,34.378193,40.681297,52.939922,58.360382,1.8252258,1.7284337,1.8184003,1.8964121,8.029999,7.375782
30,1598,7.5000005,25.2,4.7322693,7.4942074,15.00782,17.38299,2.9824007,2.9090014,3.03971,3.0626585,0.0057930946,7.817011
31,680,12.428558,21.0,14.087461,14.785097,20.896908,21.496853,1.5249416,1.5564055,1.6922445,1.7719305,2.3565388,0.49685287
32,371,26.14528,30.88616,17.381168,17.725954,23.684948,23.981457,1.5469815,1.5665643,1.6710514,1.7016742,8.419327,6.904703
33,783,30.1276,32.7158,35.898323,35.924114,42.540817,42.562996,1.3878274,1.3883855,1.4602605,1.4612856,5.7965145,9.847195
34,713,19.6,24.1,28.463257,28.591204,34.920197,35.030228,1.7428564,1.7146318,1.7806917,1.7612889,8.991203,10.930227
35,1458,39.8528,40.93248,34.49432,34.604305,41.225822,41.320404,2.2319627,2.259581,2.4018254,2.4307456,5.248493,0.3879242
36,578,17.860481,27.90696,15.339153,16.14008,22.410107,23.09888,1.735668,1.7596041,1.9038656,1.9856368,1.7204018,4.808079
37,1356,31.4234,46.7518,23.74421,28.551315,38.902184,43.03613,2.0113292,2.106159,2.4042149,2.6704588,2.8720856,3.7156715
38,1222,37.353,55.6864,27.47024,32.587048,43.410946,47.81123,2.2808006,2.5427778,3.0151248,3.4293132,4.765953,7.8751717
39,808,14.099998,16.4,15.710739,15.776276,21.395266,21.451624,1.3070297,1.325247,1.4100825,1.4281644,1.6762772,5.0516243
40,951,27.556686,30.400616,28.174644,28.178389,34.37943,34.38265,0.91012025,0.9110395,0.9585458,0.9594425,0.6217022,3.9820328
41,193,45.98,47.54,46.484215,46.72786,54.085236,54.29477,1.8505551,1.793512,1.8467723,1.8182412,0.74785995,6.7547684
