Idx_Sample,Ref.,Mixture Code in Ref,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,OPC (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),MK (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg in 1m3 mix),Total aggregates (kg in 1m3 mix),Coarse Agg density (kg/m3),Fine Agg density (kg/m3),Total Na2SiO3 (kg in 1m3 of mix),Na2O (l),SiO2 (l),H2O,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,AL/B,SH/SS,Ms,Ag/B,W/B,Additional water (kg in 1m3 mix),Sp/B,Superplasticizer (kg in 1m3 mix),Total water (in solutions + additional) (kg in 1m3 mix),Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),7d CS,28d CS,1-d Cubic compressive strength (MPa),3-d Cubic compressive strength (MPa),7-d Cubic compressive strength (MPa),14-d Cubic compressive strength (MPa) ,21-d Cubic compressive strength (MPa),28-d Cubic compressive strength (MPa),56-d Cubic compressive strength (MPa),90-d Cubic compressive strength (MPa) ,180-d Cubic compressive strength (MPa),365-d Cubic compressive strength (MPa) ,1-d Cylindrical compressive strength (MPa),2-d Cylindrical compressive strength (MPa),3-d Cylindrical compressive strength (MPa),4-d Cylindrical compressive strength (MPa),5-d Cylindrical compressive strength (MPa),7-d Cylindrical compressive strength (MPa),12-d Cylindrical compressive strength (MPa),14-d Cylindrical compressive strength (MPa),21-d Cylindrical compressive strength (MPa),28-d Cylindrical compressive strength (MPa),56-d Cylindrical compressive strength (MPa) ,90-d Cylindrical compressive strength (MPa),180-d Cylindrical compressive strength (MPa) ,365-d Cylindrical compressive strength (MPa),Slump (mm),flowtable,"CO2 footprint
(kg emision per 1m3 of samples produced and cured)
[108] and [109] used"
1,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,48,14.70%,29.40%,56%,120,8,0.352941176,2.5,2.0,3.9,0.2,0,0,0,108.432,1,60,0,24,13.6, ,,,,,,,,,,,,,,,,17,,,,,,,,,,,124.0487333
2,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,8,0.352941176,0.4,2.0,3.9,0.2,0,0,0,99.72,0.166666667,30,0,24,6.4,,,,,,,,,,,,,,,,,8,,,,,,,,,,,83.92352222
3,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,8,0.352941176,0.4,2.0,3.9,0.2,0,0,0,99.72,0.166666667,60,0,24,19.2,,,,,,,,,,,,,,,,,24,,,,,,,,,,,87.13185556
4,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,8,0.352941176,0.4,2.0,3.9,0.2,0,0,0,99.72,0.166666667,90,0,24,29.6,,,,,,,,,,,,,,,,,37,,,,,,,,,,,90.3401889
5,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,8,0.352941176,0.4,2.0,3.9,0.2,0,0,0,99.72,1,30,0,24,16,,,,,,,,,,,,,,,,,20,,,,,,,,,,,86.59713333
6,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,8,0.352941176,0.4,2.0,3.9,0.2,0,0,0,99.72,1,60,0,24,45.6,,,,,,,,,,,,,,,,,57,,,,,,,,,,,105.8471333
7,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,8,0.352941176,0.4,2.0,3.9,0.2,0,0,0,99.72,1,90,0,24,52.8,,,,,,,,,,,,,,,,,66,,,,,,,,,,,125.0971333
8,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,48,14.70%,29.40%,56%,120,14,0.352941176,2.5,2.0,3.9,0.2,0,0,0,79.632,1,60,0,24,38.4,,,,,,,,,,,,,,,,,48,,,,,,,,,,,179.2007333
9,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,14,0.352941176,0.4,2.0,3.9,0.2,0,0,0,88.2,2,30,0,24,39.2,,,,,,,,,,,,,,,,,49,,,,,,,,,,,111.8662667
10,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,14,0.352941176,0.4,2.0,3.9,0.2,0,0,0,88.2,0.166666667,60,0,24,20,,,,,,,,,,,,,,,,,25,,,,,,,,,,,109.1926556
11,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,14,0.352941176,0.4,2.0,3.9,0.2,0,0,0,88.2,0.166666667,90,0,24,24,,,,,,,,,,,,,,,,,30,,,,,,,,,,,112.4009889
12,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,14,0.352941176,0.4,2.0,3.9,0.2,0,0,0,88.2,1,30,0,24,23.2,,,,,,,,,,,,,,,,,29,,,,,,,,,,,108.6579333
13,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,14,0.352941176,0.4,2.0,3.9,0.2,0,0,0,88.2,1,60,0,24,54.4,,,,,,,,,,,,,,,,,68,,,,,,,,,,,127.9079333
14,[2],FA-I,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,0,0,,1.39,,476,,,,,1294,554,1848,,,120,14.70%,29.40%,56%,48,14,0.352941176,0.4,2.0,3.9,0.2,0,0,0,88.2,1,90,0,24,56,,,,,,,,,,,,,,,,,70,,,,,,,,,,,147.1579333
