Sample,Test_Index,Actual_7d,Prior_7d,Posterior_7d,Actual_28d,Prior_28d,Posterior_28d,Prior_Error_7d,Post_Error_7d,Prior_Error_28d,Post_Error_28d,Improvement_7d,Improvement_28d
1,110,53.8,43.6,52.7,55.0,47.0,55.9,10.1,1.0,8.0,0.9,9.1,7.1
2,527,30.0,38.3,29.7,33.7,43.7,34.8,8.3,0.3,10.0,1.2,8.0,8.8
3,567,56.4,50.3,54.0,59.1,57.1,60.7,6.1,2.4,2.1,1.6,3.7,0.4
4,77,46.2,43.0,46.5,48.9,45.0,48.5,3.2,0.3,3.9,0.4,2.8,3.5
5,181,35.2,31.5,34.5,36.8,34.4,37.4,3.7,0.7,2.4,0.6,2.9,1.8
6,284,13.3,17.7,13.3,16.6,21.0,16.8,4.4,0.0,4.4,0.2,4.4,4.2
7,10,28.3,21.9,26.6,35.4,31.2,36.1,6.5,1.7,4.2,0.7,4.8,3.6
8,519,19.0,25.9,19.1,33.8,43.7,36.3,6.9,0.1,9.9,2.5,6.9,7.4
9,78,49.4,44.5,49.5,51.5,46.3,51.3,4.9,0.1,5.3,0.2,4.8,5.1
10,349,28.8,31.3,29.8,35.0,36.3,35.0,2.5,1.0,1.4,0.0,1.5,1.4
11,55,39.3,40.6,39.0,46.1,48.2,46.6,1.3,0.3,2.1,0.6,0.9,1.5
12,118,38.2,29.0,38.6,53.2,41.7,51.7,9.2,0.4,11.6,1.6,8.9,10.0
13,109,51.6,43.8,50.9,53.4,47.2,54.0,7.8,0.8,6.2,0.6,7.0,5.6
14,591,2.9,13.2,8.9,25.4,30.5,26.0,10.3,6.0,5.1,0.6,4.2,4.6
15,370,20.5,22.0,20.4,24.5,26.4,24.6,1.5,0.1,1.9,0.1,1.4,1.8
16,234,37.3,31.3,36.5,42.5,36.8,42.2,6.0,0.8,5.7,0.3,5.2,5.4
17,30,52.3,44.3,51.9,53.8,46.6,54.0,7.9,0.4,7.2,0.2,7.5,6.9
18,212,45.6,31.9,44.2,56.7,44.9,57.2,13.7,1.4,11.7,0.6,12.2,11.2
19,184,37.3,35.0,37.4,38.9,36.4,38.7,2.3,0.1,2.5,0.2,2.1,2.3
20,86,36.3,40.8,36.8,40.7,44.7,40.6,4.5,0.5,3.9,0.1,3.9,3.9
21,2,30.7,27.8,30.6,33.1,30.4,33.2,2.9,0.1,2.7,0.1,2.8,2.6
22,408,58.5,54.0,58.5,60.5,56.0,60.3,4.5,0.0,4.5,0.2,4.5,4.4
23,537,10.5,16.9,10.2,12.5,19.8,13.3,6.4,0.3,7.3,0.8,6.1,6.5
24,599,46.1,47.1,46.6,51.0,51.0,50.5,1.0,0.5,0.0,0.5,0.4,-0.5
25,369,46.3,43.2,46.2,51.5,48.3,51.5,3.1,0.1,3.1,0.0,3.0,3.1
26,402,41.8,36.5,41.7,47.6,41.9,46.9,5.3,0.1,5.7,0.7,5.2,5.0
27,72,41.8,27.3,42.0,43.9,28.8,43.5,14.6,0.2,15.1,0.4,14.4,14.7
28,135,26.0,17.7,24.9,36.6,28.3,35.5,8.3,1.1,8.2,1.0,7.2,7.2
29,558,35.6,40.6,37.2,43.6,46.0,42.6,4.9,1.6,2.4,1.0,3.4,1.3
30,438,32.7,39.7,32.6,51.0,60.0,52.5,7.1,0.0,9.0,1.5,7.1,7.4
31,598,7.5,13.3,10.1,25.2,29.6,25.8,5.8,2.6,4.4,0.6,3.2,3.8
32,163,12.4,19.0,11.4,21.0,32.0,24.3,6.6,1.0,11.0,3.3,5.6,7.7
33,82,26.1,23.0,25.5,30.9,28.2,30.8,3.2,0.6,2.7,0.1,2.6,2.6
34,257,30.1,43.2,31.2,32.7,44.6,32.6,13.1,1.1,11.9,0.1,12.0,11.8
35,192,19.6,30.1,20.9,24.1,32.4,23.2,10.5,1.3,8.3,0.9,9.2,7.4
36,536,39.9,37.3,39.2,40.9,39.7,41.5,2.5,0.6,1.3,0.5,1.9,0.7
37,132,17.9,17.1,17.5,27.9,28.1,27.9,0.7,0.3,0.2,0.0,0.4,0.1
38,517,31.4,30.1,30.3,46.8,47.6,48.1,1.4,1.1,0.8,1.3,0.2,-0.5
39,443,37.4,32.3,37.6,55.7,49.7,55.0,5.0,0.2,6.0,0.7,4.8,5.3
40,275,14.1,17.7,13.4,16.4,21.9,17.6,3.6,0.7,5.5,1.2,2.9,4.3
41,365,27.6,30.1,27.5,30.4,33.3,30.7,2.5,0.1,2.9,0.3,2.4,2.6
42,29,46.0,43.6,45.4,47.5,46.3,48.1,2.4,0.6,1.2,0.6,1.8,0.6
43,507,35.2,36.3,34.6,35.2,37.8,36.1,1.1,0.6,2.6,0.9,0.5,1.7
44,573,30.3,35.4,30.8,43.2,49.1,44.6,5.1,0.4,5.9,1.4,4.6,4.5
45,24,18.3,19.6,16.6,19.1,24.9,21.9,1.3,1.7,5.8,2.8,-0.5,3.0
46,182,30.1,33.6,30.1,31.2,34.9,31.4,3.5,0.0,3.7,0.2,3.5,3.5
47,393,39.8,35.3,37.9,56.8,55.8,58.3,4.5,1.9,1.0,1.5,2.6,-0.5
48,104,43.6,43.8,42.8,44.9,46.7,45.7,0.2,0.8,1.9,0.8,-0.6,1.0
49,63,35.2,28.4,32.4,39.5,38.3,42.1,6.8,2.8,1.2,2.6,4.1,-1.4
50,360,32.9,31.3,32.8,37.2,35.7,37.2,1.5,0.1,1.5,0.0,1.5,1.4
51,245,41.4,43.0,41.3,43.9,46.2,44.3,1.6,0.1,2.3,0.4,1.6,1.9
52,248,33.0,37.0,34.1,38.2,40.2,37.4,4.0,1.0,2.0,0.8,2.9,1.2
53,101,36.0,21.8,37.9,52.0,31.8,48.3,14.2,1.9,20.2,3.7,12.3,16.6
54,557,38.0,42.4,39.0,44.8,47.6,44.3,4.4,1.0,2.8,0.5,3.5,2.4
55,594,42.7,43.3,43.7,49.1,47.8,48.0,0.6,1.0,1.3,1.1,-0.4,0.2
56,357,25.4,24.9,25.3,28.5,28.2,28.6,0.5,0.1,0.4,0.1,0.4,0.3
57,209,20.5,31.3,20.5,24.5,35.5,24.7,10.9,0.0,11.0,0.2,10.8,10.9
58,165,18.0,19.8,17.3,29.4,33.5,31.3,1.8,0.7,4.1,2.0,1.1,2.2
59,137,15.1,17.1,16.5,28.5,28.0,27.5,2.0,1.4,0.5,0.9,0.6,-0.5
60,195,23.5,38.5,25.4,28.5,40.0,27.0,15.0,1.9,11.5,1.5,13.1,10.0
61,76,44.2,40.9,44.4,46.9,43.3,46.6,3.2,0.2,3.5,0.3,3.0,3.3
62,176,27.3,25.9,27.3,29.2,27.6,29.1,1.4,0.0,1.6,0.1,1.4,1.5
63,329,25.4,32.2,26.3,29.4,36.8,31.1,6.8,0.9,7.4,1.7,5.9,5.7
64,538,11.0,15.5,9.8,11.5,18.8,13.1,4.6,1.1,7.3,1.7,3.4,5.6
65,585,30.0,32.5,29.8,42.5,46.3,43.6,2.5,0.2,3.8,1.1,2.3,2.7
66,70,30.0,25.8,29.5,31.0,27.8,31.4,4.2,0.6,3.1,0.5,3.7,2.6
67,563,49.4,48.3,48.7,54.2,54.3,54.7,1.0,0.6,0.1,0.5,0.4,-0.4
68,469,38.0,33.2,36.7,40.5,38.0,41.7,4.8,1.3,2.6,1.1,3.5,1.5
69,81,21.4,20.0,21.3,26.4,25.2,26.5,1.4,0.1,1.2,0.0,1.3,1.2
70,316,44.8,47.1,45.7,46.9,47.4,46.0,2.3,0.9,0.5,0.9,1.4,-0.4
71,304,17.8,17.1,14.2,24.3,33.2,29.7,0.7,3.7,8.9,5.4,-2.9,3.5
72,6,26.0,27.5,26.2,28.9,30.1,28.7,1.6,0.2,1.2,0.2,1.4,1.1
73,424,24.0,24.3,23.1,38.9,41.4,40.3,0.3,0.9,2.5,1.4,-0.7,1.1
74,375,47.2,51.1,48.1,52.8,55.2,52.1,3.9,1.0,2.4,0.7,3.0,1.7
75,485,32.6,31.6,33.5,38.0,34.7,36.7,1.0,0.9,3.2,1.3,0.1,1.9
76,539,10.0,14.4,9.2,11.0,17.7,12.3,4.4,0.9,6.7,1.3,3.5,5.4
77,312,44.2,43.1,43.5,43.1,43.5,43.8,1.0,0.7,0.3,0.7,0.4,-0.3
78,238,10.1,14.4,11.2,27.4,31.2,27.6,4.3,1.1,3.8,0.1,3.2,3.7
79,561,55.3,50.8,53.7,57.8,56.1,59.0,4.5,1.7,1.8,1.2,2.9,0.6
80,433,21.4,21.6,19.7,34.0,38.3,36.2,0.1,1.8,4.3,2.2,-1.6,2.1
81,286,19.1,18.1,19.0,23.1,22.4,23.1,1.0,0.1,0.7,0.0,0.8,0.7
82,398,29.6,28.3,30.0,34.0,31.5,33.4,1.2,0.5,2.6,0.6,0.8,1.9
83,436,36.3,41.0,37.5,58.0,61.4,57.8,4.7,1.1,3.4,0.2,3.5,3.2
84,362,32.4,28.7,32.7,35.5,30.9,35.0,3.7,0.4,4.6,0.5,3.3,4.1
85,73,27.6,23.5,27.4,28.6,24.8,28.7,4.1,0.2,3.8,0.1,3.9,3.6
86,39,28.0,19.3,26.1,28.3,23.4,30.0,8.7,1.9,4.9,1.7,6.7,3.3
87,155,43.7,46.2,40.8,50.3,59.7,54.4,2.5,3.0,9.5,4.1,-0.4,5.4
88,218,48.8,44.9,49.6,60.8,54.0,58.8,3.9,0.8,6.8,2.0,3.1,4.9
89,371,66.2,67.7,67.2,71.6,71.5,70.8,1.5,1.0,0.1,0.8,0.5,-0.7
90,210,46.0,42.4,49.2,57.4,46.7,53.3,3.7,3.2,10.7,4.1,0.5,6.6
91,235,25.1,36.5,32.8,45.5,42.2,38.9,11.4,7.8,3.3,6.7,3.7,-3.4
92,548,12.4,20.3,11.1,12.9,24.4,15.2,7.9,1.3,11.5,2.3,6.6,9.2
93,60,33.5,24.3,32.4,38.2,30.6,38.8,9.3,1.1,7.6,0.6,8.1,7.1
94,300,52.4,46.6,49.6,58.6,57.6,60.6,5.8,2.8,1.0,2.0,2.9,-1.0
95,259,28.8,28.9,28.7,31.0,31.2,31.0,0.1,0.0,0.2,0.0,0.0,0.1
96,280,13.4,15.2,13.3,16.1,18.3,16.4,1.8,0.1,2.2,0.3,1.7,1.9
97,228,30.2,31.8,29.1,32.1,36.2,33.6,1.7,1.0,4.1,1.5,0.7,2.6
98,11,29.6,20.7,26.9,34.8,29.9,36.2,8.9,2.7,4.9,1.4,6.2,3.6
99,584,14.0,16.4,15.7,23.7,22.7,22.1,2.3,1.7,1.0,1.6,0.6,-0.6
100,83,33.1,28.8,31.9,36.0,33.6,36.7,4.3,1.2,2.3,0.8,3.1,1.6
101,90,48.3,44.4,46.0,49.2,49.5,51.2,3.9,2.3,0.3,2.0,1.6,-1.8
102,208,46.3,46.3,46.5,51.5,51.3,51.3,0.0,0.2,0.2,0.2,-0.2,-0.0
103,540,9.0,14.3,7.9,9.5,17.5,11.1,5.2,1.1,8.0,1.6,4.1,6.4
104,335,42.4,33.7,40.1,44.6,37.6,44.0,8.7,2.3,7.0,0.6,6.5,6.4
105,79,52.3,45.1,51.8,53.1,46.7,53.4,7.1,0.4,6.4,0.3,6.7,6.0
106,601,48.6,47.1,48.3,51.9,50.8,52.1,1.5,0.3,1.1,0.2,1.3,0.9
107,140,51.0,47.6,47.2,49.8,55.1,54.6,3.4,3.8,5.3,4.8,-0.4,0.5
108,281,8.9,10.4,8.1,10.8,14.0,11.7,1.5,0.8,3.2,0.9,0.7,2.3
109,268,16.0,31.4,16.4,18.8,34.1,19.1,15.4,0.4,15.3,0.3,15.0,15.0
110,415,22.6,16.5,21.5,21.8,17.2,22.2,6.1,1.1,4.6,0.3,5.0,4.2
111,199,43.2,46.7,45.4,61.3,62.2,60.8,3.5,2.2,0.8,0.5,1.3,0.3
112,352,31.1,27.8,30.9,35.2,32.2,35.2,3.3,0.2,3.0,0.0,3.1,2.9
113,578,11.5,15.3,12.9,20.1,21.8,19.3,3.8,1.4,1.7,0.8,2.4,0.9
114,587,23.2,24.6,23.4,36.1,37.7,36.1,1.3,0.1,1.6,0.0,1.2,1.5
115,590,10.9,17.3,12.4,19.4,23.7,18.9,6.4,1.5,4.3,0.5,4.9,3.7
116,400,33.1,28.8,35.8,43.4,32.8,39.9,4.3,2.7,10.6,3.5,1.6,7.1
117,340,29.8,30.9,32.0,39.0,35.9,36.7,1.1,2.1,3.1,2.4,-1.1,0.8
118,148,48.0,52.7,48.3,48.8,60.6,56.3,4.6,0.2,11.8,7.5,4.4,4.3
119,496,28.0,32.1,29.4,32.2,34.1,31.4,4.1,1.4,1.9,0.8,2.7,1.0
120,441,37.1,36.3,37.2,56.2,55.2,56.0,0.8,0.1,1.0,0.2,0.6,0.8
