Idx_Sample,Ref.,Mixture Code in Ref,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,LOI,OPC (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),MK (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg in 1m3 mix),Total aggregates (kg in 1m3 mix),Coarse Agg density (kg/m3),Fine Agg density (kg/m3),Total Na2SiO3 (kg in 1m3 of mix),Na2O (l),SiO2 (l),H2O,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,AL/B,SH/SS,Ms,Ag/B,W/B,Additional water (kg in 1m3 mix),Sp/B,Superplasticizer (kg in 1m3 mix),Total water (in solutions + additional) (kg in 1m3 mix),Initial curing temp (C),Final curing temp (C),7d CS,28d CS,1-d Cubic compressive strength (MPa),3-d Cubic compressive strength (MPa),7-d Cubic compressive strength (MPa),14-d Cubic compressive strength (MPa) ,21-d Cubic compressive strength (MPa),28-d Cubic compressive strength (MPa),56-d Cubic compressive strength (MPa),90-d Cubic compressive strength (MPa) ,180-d Cubic compressive strength (MPa),365-d Cubic compressive strength (MPa) ,1-d Cylindrical compressive strength (MPa),2-d Cylindrical compressive strength (MPa),3-d Cylindrical compressive strength (MPa),4-d Cylindrical compressive strength (MPa),5-d Cylindrical compressive strength (MPa),7-d Cylindrical compressive strength (MPa),12-d Cylindrical compressive strength (MPa),14-d Cylindrical compressive strength (MPa),21-d Cylindrical compressive strength (MPa),28-d Cylindrical compressive strength (MPa),56-d Cylindrical compressive strength (MPa) ,90-d Cylindrical compressive strength (MPa),180-d Cylindrical compressive strength (MPa) ,365-d Cylindrical compressive strength (MPa),Slump (mm),flowtable,"CO2 footprint
(kg emision per 1m3 of samples produced and cured)
[108] and [109] used"
99,[2],FA-II,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2.0,0.0,0.0,1.1,,476.0,,,,,1294.0,554.0,1848.0,,,120.0,14.70%,29.40%,56%,48.0,8.0,0.352941176,0.4,2.0,3.9,0.2,0.0,0.0,0.0,99.72,60.0,24.0,46.4,48.0,,,,,,,,,,,,,61.0,,,58.0,,64.0,,60.0,61.0,63.0,,,,,105.8471333
133,[5],GP1,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0.0,1.58,0.0,0.0,0.6,,408.0,,,,,1201.0,647.0,1848.0,,,103.0,14.73%,29.75%,56%,41.0,14.0,0.352941176,0.398058252,2.0,4.5,0.2,0.0,0.01495098,6.1,78.8856,60.0,24.0,24.736,27.888,,,,,,,,,,,,,,,,30.92,,,,34.86,,,,,260.0,,125.4771333
134,[5],GP2,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0.0,1.58,0.0,0.0,0.6,,408.0,,,,,1201.0,647.0,1848.0,,,103.0,14.73%,29.75%,56%,41.0,14.0,0.352941176,0.398058252,2.0,4.5,0.2,0.0,0.01495098,6.1,78.8856,60.0,24.0,30.656,33.088,,,,,,,,,,,,,,,,38.32,,,,41.36,,,,,230.0,,125.4771333
135,[5],GP3,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0.0,1.58,0.0,0.0,0.6,,408.0,,,,,1201.0,647.0,1848.0,,,103.0,14.73%,29.75%,56%,41.0,14.0,0.352941176,0.398058252,2.0,4.5,0.2,0.0,0.01495098,6.1,78.8856,60.0,24.0,53.672,54.024,,,,,,,,,,,,,,,,67.09,,,,67.53,,,,,270.0,,125.4771333
136,[5],GP4,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0.0,1.58,0.0,0.0,0.6,,444.0,,,,,1140.0,630.0,1770.0,,,111.0,14.73%,29.75%,56%,44.0,14.0,0.349099099,0.396396396,2.0,4.0,0.2,0.0,0.013738739,6.1,78.8856,60.0,24.0,36.768,38.448,,,,,,,,,,,,,,,,45.96,,,,48.06,,,,,270.0,,131.3439333
137,[5],GP5,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0.0,1.58,0.0,0.0,0.6,,356.0,,,,,1248.0,672.0,1920.0,,,89.0,14.73%,29.75%,56%,36.0,14.0,0.351123596,0.404494382,2.0,5.4,0.2,0.0,0.017134831,6.1,84.6472,60.0,24.0,19.352,20.352,,,,,,,,,,,,,,,,24.19,,,,25.44,,,,,260.0,,115.2127333
138,[5],GP6,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0.0,1.58,0.0,0.0,0.6,,424.0,,,,,1201.0,647.0,1848.0,,,91.0,14.73%,29.75%,56%,36.0,14.0,0.299528302,0.395604396,2.0,4.4,0.2,0.0,0.014386792,6.1,68.9128,60.0,24.0,25.96,28.904,,,,,,,,,,,,,,,,32.45,,,,36.13,,,,,240.0,,115.8591333
139,[5],GP7,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0.0,1.58,0.0,0.0,0.6,,381.0,,,,,1201.0,647.0,1848.0,,,122.0,14.73%,29.75%,56%,49.0,14.0,0.448818898,0.401639344,2.0,4.9,0.2,0.0,0.016010499,6.1,78.8856,60.0,24.0,28.112,28.408,,,,,,,,,,,,,,,,35.14,,,,35.51,,,,,260.0,,140.7883333
140,[5],GP8,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0.0,1.58,0.0,0.0,0.6,,408.0,,,,,1292.0,554.0,1846.0,,,103.0,14.73%,29.75%,56%,41.0,14.0,0.352941176,0.398058252,2.0,4.5,0.2,0.0,0.01495098,6.1,70.0232,60.0,24.0,25.6,28.8,,,,,,,,,,,,,,,,32.0,,,,36.0,,,,,250.0,,125.4675333
141,[6],AAS5-0.75,33.45,13.46,0.31,41.74,5.99,0.16,0.29,2.74,0.84,0.12,0.0,0.4,0.0,,,419.0,,,,1039.0,784.0,1823.0,,,53.0,14.70%,29.40%,56%,56.0,10.0,0.260143198,1.056603774,2.0,4.4,0.5,0.0,0.0,0.0,200.227,25.0,24.0,20.0,26.32,,,,,,,,,,,,,,,,25.0,,,,32.9,,36.6,,,150.0,,92.5144
142,[6],AAS5-1.00,33.45,13.46,0.31,41.74,5.99,0.16,0.29,2.74,0.84,0.12,0.0,0.4,0.0,,,415.0,,,,1039.0,784.0,1823.0,,,71.0,14.70%,29.40%,56%,46.0,10.0,0.281927711,0.647887324,2.0,4.4,0.5,0.0,0.0,0.0,203.289,25.0,24.0,28.32,35.44,,,,,,,,,,,,,,,,35.4,,,,44.3,,45.3,,,95.0,,91.1264
143,[6],AAS5-1.25,33.45,13.46,0.31,41.74,5.99,0.16,0.29,2.74,0.84,0.12,0.0,0.4,0.0,,,412.0,,,,1039.0,784.0,1823.0,,,87.0,14.70%,29.40%,56%,33.0,10.0,0.291262136,0.379310345,2.0,4.4,0.5,0.0,0.0,0.0,203.433,25.0,24.0,29.6,34.8,,,,,,,,,,,,,,,,37.0,,,,43.5,,43.5,,,70.0,,86.7724
144,[6],G7.5-0.75,49.45,29.61,10.72,3.47,1.3,0.31,0.54,0.27,1.76,0.53,0.0,0.17,1.45,,476.0,,,,,1039.0,784.0,1823.0,,,90.0,14.70%,29.40%,56%,95.0,10.0,0.388655462,1.055555556,2.0,3.8,0.3,0.0,0.0,0.0,147.31,25.0,24.0,31.28,35.52,,,,,,,,,,,,,,,,39.1,,,,44.4,,46.1,,,300.0,,115.8244
145,[6],G7.5-1.00,49.45,29.61,10.72,3.47,1.3,0.31,0.54,0.27,1.76,0.53,0.0,0.17,1.45,,467.0,,,,,1039.0,784.0,1823.0,,,119.0,14.70%,29.40%,56%,75.0,10.0,0.415417559,0.630252101,2.0,3.9,0.3,0.0,0.0,0.0,149.521,25.0,24.0,41.04,42.64,,,,,,,,,,,,,,,,51.3,,,,53.3,,53.6,,,300.0,,110.9084
146,[6],G7.5-1.25,49.45,29.61,10.72,3.47,1.3,0.31,0.54,0.27,1.76,0.53,0.0,0.17,1.45,,461.0,,,,,1039.0,784.0,1823.0,,,147.0,14.70%,29.40%,56%,56.0,10.0,0.440347072,0.380952381,2.0,4.0,0.3,0.0,0.0,0.0,151.773,25.0,24.0,42.0,45.52,,,,,,,,,,,,,,,,52.5,,,,56.9,,57.3,,,300.0,,106.4104
147,[7],,61.18,25.0,6.47,1.34,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,1.63,,400.0,,,,,1056.0,704.0,1760.0,2.64,2.43,171.42,12.65%,29.93%,57%,68.57,10.0,0.599975,0.400011667,2.4,4.4,0.4,0.0,0.015,6.0,143.171364,60.0,24.0,25.22,27.02,,,25.22,25.63,26.19,27.02,,,,,,,,,,,,,,,,,,,160.0,,158.0221533
148,[7],,61.18,25.0,6.47,1.34,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,1.63,,400.0,,,,,1056.0,704.0,1760.0,2.64,2.43,171.42,12.65%,29.93%,57%,68.57,12.0,0.599975,0.400011667,2.4,4.4,0.3,0.0,0.015,6.0,137.685764,60.0,24.0,27.38,29.33,,,27.38,28.11,28.9,29.33,,,,,,,,,,,,,,,,,,,140.0,,168.5270773
149,[7],,61.18,25.0,6.47,1.34,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,1.63,,400.0,,,,,1056.0,704.0,1760.0,2.64,2.43,171.42,12.65%,29.93%,57%,68.57,14.0,0.599975,0.400011667,2.4,4.4,0.3,0.0,0.015,6.0,132.200164,60.0,24.0,28.18,31.0,,,28.18,28.86,28.97,31.0,,,,,,,,,,,,,,,,,,,135.0,,179.0320013
