solution_name,sample_idx,sample_num,actual_7d,actual_28d,prior_mean_7d,prior_std_7d,posterior_mean_7d,posterior_std_7d,prior_mean_14d,prior_std_14d,posterior_mean_14d,posterior_std_14d,prior_mean_21d,prior_std_21d,posterior_mean_21d,posterior_std_21d,prior_mean_28d,prior_std_28d,posterior_mean_28d,posterior_std_28d,prior_mean_56d,prior_std_56d,posterior_mean_56d,posterior_std_56d,prior_mean_90d,prior_std_90d,posterior_mean_90d,posterior_std_90d,prior_error_28d,posterior_error_28d,improvement_28d,improvement_pct_28d,prior_uncertainty_28d,posterior_uncertainty_28d,uncertainty_reduction_28d,uncertainty_reduction_pct_28d,prior_posterior_ratio_28d,is_improved,significant_improvement
Global Scaler,0,1,53.76,55.02,45.93661,3.2428966,53.408024,1.5091724,47.127563,3.2189648,54.598663,1.5097028,47.940872,3.2244818,55.410923,1.5114954,48.509884,3.2388659,55.978138,1.5145466,49.833336,3.3050513,57.287624,1.5380455,50.74714,3.376305,58.169193,1.5907928,6.510116119384769,0.9581379699707,5.551978149414069,85.28232135341315,3.2388659,1.5145466,1.7243192,53.238362073898315,0.1471767864658684,True,True
Global Scaler,1,2,30.0,33.68,46.827133,3.6068258,32.29416,1.9308136,50.852074,4.0114164,36.33298,1.9369761,53.600742,4.3222737,39.12852,1.9575942,55.523773,4.5528927,41.131176,1.9919835,59.996513,5.122072,46.209003,2.2306154,63.084797,5.535974,50.60227,2.6460378,21.843773193359375,7.451175994873047,14.392597198486328,65.88878702907314,4.5528927,1.9919835,2.5609093,56.24796152114868,0.3411121297092686,True,True
Global Scaler,2,3,56.3916,59.1157,27.356789,3.6678784,52.901752,1.0732957,31.488462,3.644226,57.033054,1.0733454,34.31002,3.680745,59.853355,1.0735122,36.284046,3.7310996,61.825233,1.0737971,40.875397,3.9219453,66.3999,1.0760096,44.045578,4.107766,69.5315,1.0811039,22.831653826904294,2.7095334594726594,20.122120367431634,88.13255719443413,3.7310996,1.0737971,2.6573024,71.22035622596741,0.11867442805565875,True,True
Global Scaler,3,4,46.19,48.9,39.842804,3.3910728,46.03166,0.97648734,40.84639,3.4006662,47.03511,0.9767653,41.531746,3.418763,47.720024,0.9777077,42.011234,3.436911,48.198765,0.97931135,43.126472,3.4961388,49.308147,0.99169505,43.89651,3.5504198,50.064655,1.0197022,6.888765716552733,0.701235198974608,6.187530517578125,89.82059736347777,3.436911,0.97931135,2.4575996,71.50605916976929,0.10179402636522224,True,True
Global Scaler,4,5,35.2,36.8,18.870956,3.2360566,33.57636,2.3845396,21.171452,3.2816145,35.87618,2.3849676,22.742485,3.3356621,37.44492,2.3864174,23.841614,3.3840203,38.54014,2.388888,26.398056,3.527795,41.06621,2.4079862,28.163202,3.6504414,42.76128,2.4513345,12.958386230468747,1.740138244628909,11.218247985839838,86.57133524437354,3.3840203,2.388888,0.99513245,29.40680980682373,0.13428664755626463,True,True
Global Scaler,5,6,13.3,16.6,-58.921288,11.536325,-14.835226,0.011150944,-58.88527,11.603445,-14.799208,0.011150944,-58.860664,11.649829,-14.774603,0.011150944,-58.84346,11.682542,-14.757395,0.011150944,-58.803436,11.759442,-14.717371,0.011150944,-58.775795,11.813201,-14.6897335,0.011150944,75.4434600830078,31.357394790649415,44.08606529235839,58.43590053246766,11.682542,0.011150944,11.671391,99.90454912185669,0.41564099467532334,True,True
Global Scaler,6,7,28.32,35.44,-31.720549,8.99328,21.66986,0.021947067,-30.929396,9.090527,22.461008,0.021947067,-30.389112,9.188952,23.001293,0.021947067,-30.011122,9.272767,23.379286,0.021947067,-29.131948,9.513269,24.25846,0.021947067,-28.524908,9.714533,24.865501,0.021947067,65.45112174987793,12.060714187622068,53.39040756225586,81.57294502344482,9.272767,0.021947067,9.25082,99.7633159160614,0.18427054976555177,True,True
Global Scaler,7,8,19.0123,33.8272,-7.3044987,6.783399,18.50598,0.13814594,-4.141882,7.2858562,21.668594,0.13814594,-1.9821073,7.705295,23.828373,0.13814594,-0.47107515,8.029652,25.339403,0.13814594,3.0434017,8.86508,28.85388,0.13814594,5.4700356,9.495608,31.280508,0.13814661,34.29827514739036,8.487796847534177,25.810478299856186,75.25299213718628,8.029652,0.13814594,7.8915057,98.27955365180969,0.24747007862813722,True,True
Global Scaler,8,9,49.44,51.52,42.903736,2.9225934,48.991535,1.1376115,43.70301,2.889127,49.790634,1.1378033,44.248844,2.8730152,50.33587,1.1384541,44.630722,2.865058,50.71673,1.1395619,45.51892,2.8572361,51.59701,1.1481386,46.132195,2.8606012,52.191998,1.1676676,6.889277954101566,0.8032717895507844,6.086006164550781,88.34026156438422,2.865058,1.1395619,1.725496,60.22552251815796,0.11659738435615775,True,True
Global Scaler,9,10,28.82,34.97,-10.241346,7.219279,-5.8447437,0.014861914,-10.1966,7.2097144,-5.800001,0.014861914,-10.166044,7.2039733,-5.7694416,0.014861914,-10.144667,7.2003403,-5.748064,0.014861914,-10.094942,7.1931143,-5.6983395,0.014861914,-10.06061,7.189126,-5.664007,0.014861914,45.11466667175293,40.718064041137694,4.396602630615234,9.74539535580349,7.2003403,0.014861914,7.185478,99.7935950756073,0.9025460464419651,True,False
Global Scaler,10,11,39.31232,46.07448,-10.7977085,5.3574996,38.91835,0.022885015,-10.258505,5.4833446,39.457554,0.022885015,-9.89028,5.5720696,39.82578,0.022885015,-9.632658,5.6354194,40.0834,0.022885015,-9.033468,5.7866178,40.68259,0.022885015,-8.619741,5.893989,41.096317,0.022885015,55.70713800476074,5.991079273681642,49.7160587310791,89.2454010594304,5.6354194,0.022885015,5.6125345,99.59390759468079,0.10754598940569596,True,True
Global Scaler,11,12,38.25,53.2493,-12.713179,10.686652,38.445,0.12436884,-9.166933,11.060479,41.991245,0.12436884,-6.7451687,11.362775,44.41301,0.12436884,-5.050848,11.595121,46.107327,0.12436884,-1.110056,12.19583,50.04812,0.12436884,1.610937,12.654817,52.769115,0.12436884,58.30014800720215,7.141973492431639,51.15817451477051,87.74964775123838,11.595121,0.12436884,11.470753,98.92740249633789,0.12250352248761616,True,True
Global Scaler,12,13,51.62,53.38,44.739933,3.5550377,51.49988,1.0513636,46.002293,3.5368352,52.761433,1.0534245,46.864372,3.5422792,53.62077,1.060366,47.4675,3.5546923,54.219227,1.0720943,48.870308,3.6104581,55.585766,1.1588466,49.8389,3.6701775,56.47115,1.3353069,5.912501220703128,0.8392268371582006,5.073274383544927,85.80589151982623,3.5546923,1.0720943,2.4825978,69.84001994132996,0.14194108480173775,True,True
Global Scaler,13,14,2.9,25.4,-33.09809,8.651191,1.358507,0.061393548,-30.1602,8.929752,4.2963963,0.061393548,-28.15389,9.170812,6.3027077,0.061393548,-26.750235,9.362058,7.7063637,0.061393548,-23.48549,9.872047,10.9711075,0.061393548,-21.23129,10.271716,13.225307,0.061393548,52.150234603881835,17.693636322021483,34.45659828186035,66.07179918476446,9.362058,0.061393548,9.300664,99.34422969818115,0.3392820081523554,True,True
Global Scaler,14,15,20.48,24.52,14.058928,7.5546994,20.288969,0.54365104,16.327955,7.7399244,22.55799,0.5436556,17.877495,7.8756514,24.10751,0.5436717,18.961588,7.9748273,25.191568,0.54369897,21.483059,8.218153,27.712767,0.54390997,23.224056,8.395855,29.453136,0.5443988,5.5584120941162105,0.6715683746337895,4.886843719482421,87.91798155187756,7.9748273,0.54369897,7.4311285,93.18231344223022,0.12082018448122442,True,True
Global Scaler,15,16,37.33,42.48,6.9054527,6.0508227,37.344902,0.109426886,10.546648,6.6830845,40.9861,0.109426886,13.033257,7.1490226,43.472702,0.10942775,14.7729435,7.488279,45.212383,0.10942948,18.81925,8.31136,49.258648,0.10943987,21.613096,8.901973,52.052395,0.10946412,27.707056503295895,2.732383270263675,24.97467323303222,90.13831270767199,7.488279,0.10942948,7.3788495,98.5386610031128,0.09861687292328018,True,True
Global Scaler,16,17,52.26,53.8,40.045265,2.8093605,51.58054,0.9938544,41.17287,2.8139317,52.70723,0.9944393,41.94292,2.8306687,53.474186,0.9964125,42.481667,2.8488414,54.00765,0.99976915,43.734722,2.9110374,55.219666,1.0254216,44.59992,2.9695058,55.99042,1.0818243,11.318333435058591,0.20764846801758097,11.11068496704101,98.16537947738499,2.8488414,0.99976915,1.8490722,64.90611433982849,0.01834620522615007,True,True
Global Scaler,17,18,45.63,56.67,-27.897955,10.81165,45.776463,0.014249752,-22.882925,10.732787,50.791492,0.014249752,-19.458117,10.76727,54.2163,0.014249752,-17.062044,10.833763,56.612373,0.014249752,-11.489058,11.119041,62.18536,0.014249752,-7.6410885,11.416756,66.03333,0.014249752,73.73204414367676,0.057626647949220455,73.67441749572754,99.92184314348192,10.833763,0.014249752,10.819513,99.86847043037415,0.0007815685651807946,True,True
Global Scaler,18,19,37.3,38.9,10.474503,3.877236,33.999332,1.7849092,12.900969,4.2144637,36.425766,1.7849182,14.558027,4.4738827,38.082703,1.7849469,15.71734,4.6670012,39.24181,1.7849958,18.41377,5.146515,41.93664,1.7853806,20.27557,5.497765,43.794735,1.7862697,23.182659530639647,0.34180984497070455,22.840849685668942,98.52557967079252,4.6670012,1.7849958,2.8820055,61.75283193588257,0.014744203292074723,True,True
Global Scaler,19,20,36.32016,40.74488,-9.647165,8.508289,22.58003,0.012533941,-9.409422,8.554654,22.817772,0.012533941,-9.247068,8.588676,22.980127,0.012533941,-9.133482,8.6136055,23.093714,0.012533941,-8.869291,8.675117,23.357904,0.012533941,-8.686876,8.720429,23.54032,0.012533941,49.87836197937012,17.651166239624025,32.227195739746094,64.6115759636922,8.6136055,0.012533941,8.601071,99.85448718070984,0.353884240363078,True,True
Global Scaler,20,21,30.656,33.088,-15.425596,10.559564,30.539974,0.014622869,-15.099932,10.741804,30.865637,0.014622869,-14.877531,10.869618,31.088037,0.014622869,-14.721937,10.960599,31.243633,0.014622869,-14.360041,11.176989,31.60553,0.014622869,-14.110159,11.33014,31.855408,0.014622869,47.80993717956543,1.844366729736329,45.9655704498291,96.14229417869925,10.960599,0.014622869,10.945976,99.86658692359924,0.03857705821300754,True,True
Global Scaler,21,22,58.5124,60.4959,44.690384,3.4523494,56.08889,1.7114582,46.839436,3.4905434,58.227585,1.7145605,48.30705,3.5465567,59.660213,1.7249746,49.33382,3.599537,60.62755,1.7424552,51.72197,3.763594,62.563477,1.867316,53.370914,3.9071672,63.233772,2.0974295,11.16207965698242,0.1316482177734386,11.030431439208982,98.8205762562258,3.599537,1.7424552,1.8570817,51.59223675727844,0.011794237437741835,True,True
Global Scaler,22,23,10.4902,12.4762,-15.5906315,7.5931206,10.065174,0.17471488,-15.23237,7.7625813,10.423435,0.17471488,-14.987707,7.8876877,10.668097,0.17471488,-14.816542,7.979517,10.839266,0.17471488,-14.418417,8.20607,11.237387,0.17471488,-14.14353,8.372474,11.512276,0.17471488,27.29274167175293,1.6369341766357426,25.655807495117188,94.00230949194118,7.979517,0.17471488,7.804802,97.81045317649841,0.05997690508058831,True,True
Global Scaler,23,24,46.1,51.0,18.827562,4.295677,43.926895,0.2636266,23.732018,4.8760905,48.831337,0.26362702,27.081316,5.36967,52.180607,0.26362857,29.42456,5.7495575,54.5238,0.2636311,34.874672,6.7131543,59.973503,0.26365158,38.6378,7.425721,63.7357,0.26369864,21.575439453125,3.5237998962402344,18.051639556884766,83.66754056668893,5.7495575,0.2636311,5.4859266,95.41476368904114,0.16332459433311078,True,True
Global Scaler,24,25,46.32,51.46,35.471786,6.890474,45.61421,0.7536845,37.894283,7.103463,48.036232,0.7538824,39.548634,7.2599106,49.688972,0.7545523,40.70605,7.3743176,50.843655,0.75569296,43.398067,7.655058,53.514393,0.7644952,45.25682,7.859941,55.32405,0.78435624,10.753949127197266,0.6163453674316415,10.137603759765625,94.26866019039579,7.3743176,0.75569296,6.6186247,89.75237011909485,0.057313398096042106,True,True
Global Scaler,25,26,41.784,47.6,13.204262,5.5736933,37.855946,0.213586,13.356148,5.5583167,38.00783,0.213586,13.459873,5.549513,38.111557,0.213586,13.532442,5.544176,38.184124,0.213586,13.701227,5.5343957,38.35291,0.213586,13.81777,5.5297995,38.46945,0.213586,34.067557907104494,9.41587600708008,24.651681900024414,72.36116532697966,5.544176,0.213586,5.3305902,96.14756107330322,0.2763883467302034,True,True
Global Scaler,26,27,41.832,43.912,-2.857523,5.989579,41.823643,0.016250899,-2.541605,6.01376,42.13956,0.016250899,-2.3258648,6.03282,42.3553,0.016250899,-2.1749249,6.047374,42.50624,0.016250899,-1.8238622,6.085054,42.857304,0.016250899,-1.5814649,6.1141567,43.0997,0.016250899,46.086924850463866,1.4057591552734365,44.68116569519043,96.94976577449106,6.047374,0.016250899,6.0311227,99.73127245903015,0.03050234225508946,True,True
Global Scaler,27,28,26.022,36.57144,-30.811796,9.28334,20.46321,0.013632544,-30.00871,9.373725,21.266294,0.013632544,-29.46028,9.45144,21.814728,0.013632544,-29.076582,9.513334,22.198421,0.013632544,-28.184149,9.680504,23.09086,0.013632544,-27.567957,9.814182,23.70705,0.013632544,65.64802195495605,14.373018521728518,51.27500343322753,78.10593816278202,9.513334,0.013632544,9.4997015,99.856698513031,0.21894061837217987,True,True
Global Scaler,28,29,35.6341,43.6449,5.9873676,4.9510384,34.088974,0.5030891,7.8868256,5.1813245,35.98841,0.5030921,9.183985,5.361817,37.285496,0.50310284,10.091503,5.498161,38.19289,0.5031209,12.20229,5.8437343,40.3027,0.50326383,13.659719,6.1027584,41.75787,0.50359434,33.55339685668945,5.452009832763672,28.10138702392578,83.75124326145024,5.498161,0.5031209,4.99504,90.84928631782532,0.16248756738549763,True,True
Global Scaler,29,30,32.6513,50.9846,-14.439283,6.843262,32.39388,0.031599037,-10.23472,7.7355433,36.598442,0.031599037,-7.363386,8.469845,39.469776,0.031599037,-5.3545322,9.028779,41.47863,0.031599037,-0.68218434,10.435581,46.150978,0.031599037,2.5439281,11.471305,49.37709,0.031599037,56.33913224182129,9.505969934082032,46.83316230773926,83.12723402753154,9.028779,0.031599037,8.99718,99.65001940727234,0.16872765972468465,True,True
